method,n_simul,n_pc,t_max,n_grid,time,lag,error_fro,rel_error_fro,error_nuc,rel_error_nuc,error_sup,rel_error_sup
CKL,1000,3,1000,1001,0.372033851861954,20,0.00580194312416433,0.00421226521409775,0.0138396817256834,0.00576460652207051,0.0350595013938524,0.0112578048336317
CKL,1000,3,1000,1001,0.372033851861954,30,0.00884535324569679,0.00642180955343676,0.0134526934872664,0.00560341532075817,0.0217526291017719,0.00698489263424226
CKL,1000,3,1000,1001,0.372033851861954,40,0.00341284509030922,0.00247775759730227,0.00629824294349364,0.00262339070141117,0.0117935487998005,0.00378697543905591
CKL,1000,3,1000,1001,0.372033851861954,60,0.00847452459587888,0.00615258446994479,0.0116744850776407,0.00486274281116524,0.0201138903983251,0.00645868433796692
CKL,1000,3,1000,1001,0.372033851861954,80,0.00407767451580483,0.00296043000590626,0.00675899759376919,0.00281530763380158,0.00872510560232436,0.00280168091725966
CKL,1000,3,1000,1001,0.372033851861954,100,0.00506188287083375,0.00367497451773475,0.00711729739843062,0.00296454931664858,0.0115398940246529,0.00370552545145766
CKL,1000,2,1000,1001,0.289154377698899,0,0.168897964539922,0.12262150895626,0.577788755950245,0.240664843090191,0.630590681830905,0.202486246059504
CKL,1000,2,1000,1001,0.289154377698899,1,0.11749111739251,0.0852996549891595,0.372161628022411,0.155015511966654,0.423883715690598,0.136111466326676
CKL,1000,2,1000,1001,0.289154377698899,2,0.0860328833818606,0.062460681565219,0.243065654892467,0.101243503084625,0.288140108990919,0.0925234239734492
CKL,1000,2,1000,1001,0.289154377698899,3,0.0646589798338843,0.0469430267937257,0.177822627520922,0.0740679951097793,0.21639035866869,0.0694841720195954
CKL,1000,2,1000,1001,0.289154377698899,5,0.0434904247862542,0.0315744569626162,0.107184016814923,0.0446450788854763,0.148069317520244,0.0475458980367657
CKL,1000,2,1000,1001,0.289154377698899,10,0.0167047049238964,0.0121277727059469,0.0390976630801569,0.0162852475986732,0.101965181977814,0.0327415985081083
CKL,1000,2,1000,1001,0.289154377698899,20,0.00610033732568694,0.00442890220764691,0.0124381938234378,0.00518084842256919,0.0376005110030732,0.0120737374374539
CKL,1000,2,1000,1001,0.289154377698899,30,0.0059123984406072,0.00429245681150012,0.00930022324526399,0.00387379772447137,0.0190367549539259,0.00611281003484404
CKL,1000,2,1000,1001,0.289154377698899,40,0.00478364479447539,0.00347297106041016,0.00752904085958783,0.00313605174630358,0.0114019527718931,0.00366123173248455
CKL,1000,2,1000,1001,0.289154377698899,60,0.00673123598900784,0.00488694056415186,0.00963830392115735,0.00401461758636344,0.0139372043128735,0.004475315387922
CKL,1000,2,1000,1001,0.289154377698899,80,0.00771671844556538,0.00560241008565959,0.00955324554735159,0.00397918844383573,0.0185805033329585,0.00596630505046971
CKL,1000,2,1000,1001,0.289154377698899,100,0.00816443672349391,0.00592745776149418,0.0097201902338615,0.00404872547855626,0.0163141179376097,0.00523855584000591
CKL,1000,1,1000,1001,0.236047452688217,0,0.369381889472693,0.268174721889855,0.945110678373557,0.393664485110234,1.08871373002673,0.349592156335838
CKL,1000,1,1000,1001,0.236047452688217,1,0.243782394494914,0.176988308600196,0.594033476302226,0.247431214076632,0.753287311693125,0.241884830118529
CKL,1000,1,1000,1001,0.236047452688217,2,0.166968832264891,0.121220940801488,0.38044151690912,0.158464312482765,0.518217477516868,0.166402572521605
CKL,1000,1,1000,1001,0.236047452688217,3,0.131031257285878,0.095129923753655,0.271847691146861,0.113232009554585,0.40966078254423,0.131544401789025
CKL,1000,1,1000,1001,0.236047452688217,5,0.0796359950900322,0.0578164805702258,0.158561353827621,0.0660451470301348,0.300860380093297,0.0966079752023088
CKL,1000,1,1000,1001,0.236047452688217,10,0.0227789047374646,0.0165376988342485,0.0461979104457928,0.0192426951096446,0.127054971836588,0.0407980723972789
CKL,1000,1,1000,1001,0.236047452688217,20,0.00759384958141335,0.00551320613600214,0.0142885200578344,0.00595155998156164,0.0411679008738066,0.0132192465671768
CKL,1000,1,1000,1001,0.236047452688217,30,0.00197940580703713,0.00143706721130027,0.0042719827721257,0.00177939783865604,0.0193467010423813,0.00621233548255595
CKL,1000,1,1000,1001,0.236047452688217,40,0.00582422762120408,0.00422844396829878,0.00758558106984195,0.00315960229256978,0.0124576143091035,0.00400021064216098
CKL,1000,1,1000,1001,0.236047452688217,60,0.00957698792243706,0.0069529832020417,0.0104827602585754,0.00436635678143828,0.0187953778271771,0.006035302469813
CKL,1000,1,1000,1001,0.236047452688217,80,0.0056904012615919,0.00413128477399783,0.00668984980887355,0.00278650568736256,0.0116137550718278,0.00372924265281092
CKL,1000,1,1000,1001,0.236047452688217,100,0.00522869023180358,0.0037960782288591,0.00583224955329116,0.00242929169034664,0.0101064321043637,0.00324523269504418
